id;number_clusters;number_cluster_discussed;number_relations;number_relations_discussed;number_concepts;number_concepts_discussed;local_cohesion;number_sentences
1;2;2;17;17;17;17;0.25;13
2;1;1;26;27;17;18;0.6666666666666666;10
3;1;1;31;31;18;18;0.5714285714285714;8
4;2;3;19;19;18;19;0.5714285714285714;8
5;6;6;24;24;26;26;0.25;21
6;1;1;64;67;30;30;0.5;17
7;1;2;40;49;33;42;0.5555555555555556;10
8;1;1;52;52;34;34;0.6;16
9;1;1;36;35;32;32;0.3333333333333333;16
10;2;2;29;29;28;27;0.6666666666666666;13
11;2;2;27;27;27;28;0.35;21
12;2;2;61;61;46;49;0.32;26
13;3;3;26;27;22;22;0.7;11
14;3;3;12;12;15;16;0.4;6
15;2;1;43;50;31;32;0.8333333333333334;13
16;1;1;36;34;23;23;0.4166666666666667;13
17;1;1;21;22;19;19;0.5;13
18;1;1;38;34;20;23;0.6666666666666666;10
19;2;2;53;53;45;45;0.13043478260869565;24
20;2;2;61;62;44;45;0.6923076923076923;14
21;4;2;76;76;60;60;0.3333333333333333;16
22;5;2;76;80;55;54;0.2857142857142857;15
23;2;2;102;102;61;61;0.26666666666666666;16
24;6;6;31;30;30;28;0.0;8
25;3;3;60;61;53;52;0.4666666666666667;16
26;6;6;48;48;36;37;0.2222222222222222;10
27;6;6;26;26;31;31;0.15384615384615385;14
28;1;1;57;56;29;29;0.75;9
29;1;1;70;63;35;35;0.5714285714285714;8
30;4;4;31;31;29;29;0.0;8
31;8;7;19;16;26;26;0.08333333333333333;13
32;1;1;58;58;37;37;0.4;11
33;2;2;36;36;24;24;0.3333333333333333;13
34;1;1;23;21;10;12;0.25;9
35;1;1;108;109;55;56;0.26666666666666666;16
36;2;2;16;17;17;19;0.14285714285714285;8
37;2;2;29;29;25;24;0.42857142857142855;8
38;4;4;13;13;17;18;0.2727272727272727;12
39;3;3;20;20;20;20;0.25;9
40;2;2;26;26;21;21;0.6666666666666666;10
41;4;5;58;60;39;41;0.125;17
42;7;6;50;52;54;54;0.18181818181818182;23
43;1;1;57;58;35;36;0.7;11
44;3;3;37;38;35;35;0.2222222222222222;10
45;1;1;59;59;28;28;0.7;11
46;1;1;60;60;36;36;0.4444444444444444;10
47;2;2;26;23;22;22;0.1;11
48;2;1;44;45;35;37;0.08333333333333333;13
49;3;2;47;52;36;38;0.4444444444444444;10
50;4;4;28;28;28;28;0.42857142857142855;8
51;4;4;38;38;28;29;0.0;7
52;3;3;92;92;70;69;0.2727272727272727;12
53;4;4;42;43;36;36;0.3;11
54;2;2;48;54;35;34;0.5555555555555556;10
55;4;5;29;28;32;32;0.2857142857142857;15
56;1;1;70;87;32;34;0.6;6
57;6;6;29;29;33;33;0.2727272727272727;12
58;4;4;97;96;63;62;0.25;17
59;3;3;71;70;45;45;0.5;9
60;3;3;83;83;58;56;0.5;11
61;3;3;39;39;32;32;0.16666666666666666;7
62;2;2;16;16;16;16;0.5;7
63;2;2;24;24;19;19;0.4444444444444444;10
64;3;3;40;40;35;35;0.5;13
65;3;3;22;21;23;23;0.5;7
66;3;3;33;33;30;30;0.25;9
67;5;4;30;33;26;28;0.4166666666666667;13
68;1;1;36;38;30;31;0.7777777777777778;10
69;5;5;23;20;25;25;0.4;11
70;2;2;33;34;27;27;0.3333333333333333;10
71;1;1;37;37;19;19;0.4;6
72;2;2;33;33;25;28;0.8;6
73;1;1;23;23;15;14;1.0;7
74;1;1;52;53;29;29;0.625;9
75;2;2;30;34;23;23;0.2222222222222222;10
76;3;2;18;19;17;18;0.25;9
77;3;3;18;15;14;14;0.2857142857142857;8
78;1;1;25;25;20;19;0.5714285714285714;8
79;3;3;32;30;23;23;0.3333333333333333;7
80;2;2;32;28;18;18;0.375;9
81;4;5;45;44;36;36;0.25;17
82;4;6;47;45;42;42;0.3181818181818182;23
83;4;4;54;50;45;44;0.11764705882352941;18
84;5;5;24;24;26;26;0.08333333333333333;13
85;5;5;26;29;26;27;0.1;11
86;3;3;34;35;33;33;0.5714285714285714;15
87;3;3;42;43;31;32;0.15384615384615385;14
88;9;9;44;43;49;49;0.14285714285714285;29
89;5;5;80;80;49;49;0.43478260869565216;24
90;1;1;56;56;36;36;0.65;21
91;1;2;35;32;26;26;0.75;9
92;2;2;45;45;26;27;0.42857142857142855;8
93;1;1;22;22;20;20;0.6;6
94;2;2;26;22;19;19;0.4;6
95;1;1;24;25;19;19;0.25;5
96;2;2;30;30;29;29;0.3333333333333333;7
97;1;1;22;23;20;21;0.625;9
98;1;1;20;20;20;20;0.4;6
99;1;1;20;22;17;18;0.7142857142857143;8
100;1;1;30;31;23;23;0.5;7
