id,source,target,satz.source,satz.target,device
4,Wissensrepräsentation,Information,1,1,lexical overlap
4,Methode,Stoff,2,2,lexical overlap
4,Skript,Skript,3,3,lexical overlap
4,Methode,Skript,2,3,bridging information
4,Skript,Mind map,4,4,lexical overlap
4,Skript,Überblick,4,4,lexical overlap
4,Skript,Unterthema,4,4,lexical overlap
4,Schema,Information,5,5,lexical overlap
4,Arbeitsgedächtnis,Platz,6,6,lexical overlap
4,Arbeitsgedächtnis,Schema,6,6,lexical overlap
4,Arbeitsgedächtnis,Wissen,6,6,lexical overlap
4,Arbeitsgedächtnis,Menge,6,6,lexical overlap
4,Wissensrepräsentation,Modell,7,7,lexical overlap
4,Bild,Wissen,8,8,lexical overlap
4,Bild,Kanal,8,8,lexical overlap
4,Grafik,Wissen,8,8,lexical overlap
4,Grafik,Kanal,8,8,lexical overlap
4,Video,Wissen,8,8,lexical overlap
4,Video,Kanal,8,8,lexical overlap
4,Wissen,Wissensrepräsentation,6,7,compound
7,Information,Gedächtnis,1,1,lexical overlap
7,Information,Arbeitsgedächtnis,2,2,lexical overlap
7,Information,Aufnahme,2,2,lexical overlap
7,Information,Lernende,2,2,lexical overlap
7,Information,Langzeitgedächtnis,2,2,lexical overlap
7,Information,Verknüpfung,2,2,lexical overlap
7,Information,Vorwissen,2,2,lexical overlap
7,Information,Organisation,2,2,lexical overlap
7,Information,Wiederholung,2,2,lexical overlap
7,Schema,Wissen,3,3,lexical overlap
7,Schema,Organisation,3,3,lexical overlap
7,Instrument,Wissen,3,3,lexical overlap
7,Instrument,Organisation,3,3,lexical overlap
7,Information,Gruppe,4,4,lexical overlap
7,Fähigkeit,Organisation,6,6,lexical overlap
7,Fähigkeit,Wissen,6,6,lexical overlap
7,Fähigkeit,Schema,6,6,lexical overlap
7,Fähigkeit,Beispiel,6,6,lexical overlap
7,Fähigkeit,Leser,6,6,lexical overlap
7,Leser,Text,7,7,lexical overlap
7,Leser,Information,7,7,lexical overlap
7,Leser,Schema,7,7,lexical overlap
7,Leser,Überblick,7,7,lexical overlap
7,Leser,Textabschnitt,7,7,lexical overlap
7,Leser,Text,7,7,lexical overlap
7,Leser,Mühe,7,7,lexical overlap
7,Leser,Wort,7,7,lexical overlap
7,Leser,Verknüpfung,7,7,lexical overlap
7,Handlungsmuster,Schema,8,8,lexical overlap
7,Handlungsmuster,Skript,8,8,lexical overlap
7,Handlungsabfolge,Schema,8,8,lexical overlap
7,Handlungsabfolge,Skript,8,8,lexical overlap
7,Theatergänger,Bespiel,9,9,lexical overlap
7,Theatergänger,Theaterbesuch,9,9,lexical overlap
7,Theatergänger,Anblick,9,9,lexical overlap
7,Theatergänger,Tür,9,9,lexical overlap
7,Handlungsmuster,Theatergänger,8,9,bridging information
7,Handlungsabfolge,Theatergänger,8,9,bridging information
7,Skript,Konvention,10,10,lexical overlap
7,Skript,Rolle,10,10,lexical overlap
7,Schema,Sachinformation,10,10,lexical overlap
10,Proposition,Argument,1,1,lexical overlap
10,Proposition,Verb,1,1,lexical overlap
10,Beipiel,Text,2,2,lexical overlap
10,Beipiel,Geschichte,2,2,lexical overlap
10,Beispiel,Jahrhundert,2,2,lexical overlap
10,Beispiel,Argument,2,2,lexical overlap
10,Beipiel,Verb,2,2,lexical overlap
10,Proposition,Gedächtnis,3,3,lexical overlap
10,Proposition,Schema,3,3,lexical overlap
10,Schema,Schema,4,4,lexical overlap
10,Skript,Gedächtnis,5,5,lexical overlap
10,Skript,Schema,5,5,lexical overlap
10,Schema,Erfahrung,6,6,lexical overlap
10,Schema,Bezug,6,6,lexical overlap
10,Schema,Lernende,6,6,lexical overlap
10,Lernender,Modell,7,7,lexical overlap
10,Lernender,Weise,7,7,lexical overlap
10,Lernender,Wissenrepräsentation,7,7,lexical overlap
10,Lernender,Rolle,7,7,lexical overlap
10,Wissen,Schema,8,8,lexical overlap
10,Wissen,Moment,8,8,lexical overlap
10,Wissen,Modell,8,8,lexical overlap
10,Wissen,Mann,8,9,bridging information
10,Mann,Gebäude,9,9,lexical overlap
10,Frau,Kleid,10,10,lexical overlap
10,Gedächtnis,Schema,11,11,lexical overlap
10,Lehrer,Hausaufgabe,12,12,lexical overlap
10,Beispiel,Beispiel,12,12,lexical overlap
10,Hausaufgabe,Text,12,12,lexical overlap
10,Gedächtnis,Lehrer,11,12,bridging information
10,Mann,Frau,9,10,coreference
10,Schüler,Schüler,13,13,lexical overlap
14,Speicherkapazität,Cognitive Load Theory,1,1,lexical overlap
14,Speicherkapazität,Arbeitsgedächtnis,1,1,lexical overlap
14,Lerner,Information,2,2,lexical overlap
14,Lerner,Langzeitgedächtnis,2,2,lexical overlap
14,Langzeitgedächtnis,Aufgabeninstruktion,2,3,connective
14,Extrinsic Load,Aufgabenstellung,3,3,lexical overlap
14,Extrinsic Load,Aufgabeninstruktion,3,3,lexical overlap
14,Extrinsic Load,Kapazität,4,4,lexical overlap
14,Extrinsic Load,Aufgabenstellung,4,4,lexical overlap
14,Extrinsic Load,Komplexität,4,4,lexical overlap
14,Extrinsic Load,Texte,4,4,lexical overlap
14,Fokus,Intrinsic Load,6,6,lexical overlap
