id;number_clusters;number_relations;number_concepts;local_cohesion;number_sentences
4;4;16;20;0.25;9
7;3;44;43;0.6666666666666666;10
10;1;31;29;0.6666666666666666;13
14;3;19;20;0.6;11
15;1;44;29;0.9166666666666666;13
17;1;29;25;0.4166666666666667;13
21;3;66;57;0.6428571428571429;15
22;2;63;59;0.26666666666666666;16
23;2;65;56;0.3333333333333333;16
25;1;53;48;0.4666666666666667;16
27;9;29;37;0.14285714285714285;15
34;3;20;22;0.7142857142857143;8
36;3;25;27;0.42857142857142855;8
37;1;30;26;0.09195402298850575;88
42;9;64;66;0.5217391304347826;24
47;3;37;28;0.7;11
54;3;43;41;0.5555555555555556;10
56;2;46;38;0.2;6
60;2;70;61;0.7;11
69;4;36;31;0.4;11
71;2;37;21;0.8;6
72;3;29;28;0.6;6
77;4;20;20;0.42857142857142855;8
81;3;44;42;0.4;16
85;3;45;41;0.45454545454545453;12
89;8;68;63;0.3333333333333333;25
91;1;40;28;1.0;9
92;2;26;26;0.2857142857142857;8
93;2;27;23;0.4;6
95;1;25;21;0.5;5
99;1;23;19;1.0;7
