"id","subject","text","num_words"
1,"knowledge representations","Wissensrepräsentation Wissen wird im Gedächtnis auf verschiedene Weise repräsentiert. Schemata, Skripte, Propositionen und Mentale Modelle sind verschiedene Arten der Wissensrepräsentation. Unter einem Schemata versteht man die Einteilung von Wissen in einzelne Einheiten. Beurteilt man beispielsweise sein eigenes Wissen über Hunde, so ist dies in einem Schemata abgespeichert. Die spezifischen Informationen sind in einzelne Einheiten, Schemata, verpackt. Ein Skript stellt eine weitere Art der Wissensrepräsentation dar. Skripte werden auch als Handlungsabläufe bezeichnet. Geht man beispielsweise in einem Restaurant Essen, so hat man einen bestimmten Ablauf erlernt, der meist ähnlich abläuft. Man kommt im Restaurant an, sucht sich einen freien Tisch und setzt sich. Danach wird die Speisekarte gebracht, man sucht sich etwas aus, bestellt Getränke und das gewünschte Essen und so weiter. Beispiele für solche erlernten Handlungsabläufe findet man überall im Alltag. Präpositionen stellen eine weitere Art der Wissensrepräsentation dar. Auch mentale Modelle befassen sich mit der Wissensrepräsentation. Dabei werden mentale Konstrukte gebildet, die erklären wie Wissen gespeichert und abgerufen wird.",161
2,"knowledge representations","Gelerntes kann erst als Wissen bezeichnet werden, wenn es im Langzeitgedächtnis gespeichert wurde. Damit neu Gelerntes im Langzeitgedächtnis gespeichert werden kann, muss es mit dem schon vorhandenen Wissen, dem Vorwissen, in einen Zusammenhang gebracht werden. Dieser Zusammenhang kann hergestellt werden indem die neue Information einem Schemata zugeordnet wird. Als Schemata bezeichnet man eine Ansammlung verschiedener Begriffe beziehungsweiseInformationen, die unter einem Überbegriff zusammengefasst werden und somit einen Zusammenhang darstellen. Diese Schemata sind ein Teil des Langzeitgedächtnis. Neben Schemata gibt es auch Skripte, die als Schemata zu einer bestimmten Abfolge eines Ereignisses verstanden werden. Ein Beispiel für ein Skript, das die Reihenfolge eines gewissen Ereignisses wiedergibt ist ein Kinobesuch. Jedem von uns sind die einzelnen Schritte klar die bei einem Kinobesuch nacheinander kommen. Man entscheidet sich für einen Film, man kauft sich ein Ticket, man bezahlt, man geht in den richtigen Kinosaal und am dann schaut man den Film. Sobald eine Information einem Schemata oder einem Skript zugeordnet wurde und dadurch in unser Vorwissen integriert wurde, ist sie im Langzeitgedächtnis. Im Langzeitgedächtnis wird sie dann für den Rest unseres Lebens bleiben.",180
3,"knowledge representations","Unter Wissensrepräsentation versteht man wie eine Information bearbeitet und abgespeichert wird und im Langzeitspeicher wieder abrufbar ist. Die Wissensrepräsentation erfolgt in mehreren, verschiedenen Konzepten. Unter dem Konzept des Schemata versteht man das einordnen von Informationen in bereits vorhandene Auffassungen. Schemata werden angewandt um neue Informationen schneller und effektiver aufnehmen, selektieren, priorisieren und verarbeiten zu können. Das Konzept der Propositionen wird bei der Verarbeitung eines Textes angewandt. Die Informationen dieses Textes werden bei der Proposition in verschiedener Priorität gespeichert. Am ehesten erinnert sich der Lesende an die Informationen die in markanten Substantiven des Textes stecken, wie ""Juan"", ""Südamerika"", ""Haus"", ""Feuer"", ""Obdachlos"" und ähnliches. Die zweite Stufe der Priorität und somit als nächstes im Text erinnern sich Leser an die informationshaltigen Verben wie ""lebt"", ""hat nicht mehr"", ""brach aus"", ""ist"" und ähnliches. Am ehesten Vergessen werden Stellen des Textes die in detaillierten Adjektiven Stecken wie ""schön"", ""groß"", ""lodernd"", und ähnliches.",149
4,"knowledge representations","Bei der Wissensrepräsentation geht es zunächst einmal darum, wie wir uns Informationen am besten merken können. Es gibt natürlich unterschiedliche Methoden, die wir einsetzen können, damit wir uns den zu lernenden Stoff besser merken können. Eine davon ist, Skripte mental zu erstellen und diese miteinander zu vernetzen. Bei Skripten handelt es sich beispielsweise um eine Mind- map, die mir hilft einen Überblick zu verschaffen und verschiedene Unterthemen besser zuordnen zu können. Man kann auch Schemata entwerfen, die einem helfen können die Informationen miteinander zu verbinden und zu vereinfachen. Da wir im Arbeitsgedächtnis nicht unbegrenzt Platz haben, können wir durch Schemata eine große Menge Wissen reduzieren und kompakter lernen. Bei der Wissensrepräsentation hilft es außerdem auf mentale Modelle zuzugreifen. Bilder, Grafiken und auch Videos helfen, dass das neue Wissen in einem anderen Kanal (visuell) wiederholt wird. Dadurch können wir auf neue Aspekte aufmerksam werden, die uns anschließend wieder helfen, die neue Information zu verarbeiten.",154
5,"knowledge representations","Wissenrepräsentationen Unser Wissen wird vielfältig verarbeitet. Zum Einen nehmen wir ununterbrochen neue Informationen auf, verarbeiten diese und speichern sie ab. Zum Anderen werden neue Informationen aufgenommen und ""aussortiert"". Unser Gehirn, ein komplexes und vielfältiges Instrument baut auf unterschiedlichen Ebenen auf. Wir versuchen neue Informationen so vielfältig wie möglich aufzunehmen und zu verarbeiten. Dabei spielt das Vorwissen und bereits gemachte Erfahrungen eine große Rolle. Wir nehmen diese Informationen auf und verarbeiten sie zu einem Schemata. Ein Schemata ist ein großes Netzwerk an Informationen, die verknüpft werden. So können wir neue Informationen besser aufnehmen und in ein bereits vorhandenes Schema eingliedern. Wir versuchen durchgehend neue Informationen in ein bereits vorhandenes Schemata einzuordnen und zu verarbeiten. In diesem Sinne kann auch vom deklarativen Wissen gesprochen werden. Wir wissen, dass... Fakten werden hier beansprucht und einsortiert. Ein weiterer Begriff ist das Skript. Wir wenden jeden Tag verschiedene Handlungsabläufe ab, die wir uns angeeignet haben. Wir bauen uns sozusagen einen mentalen Handlungsapparat, denn wir ablaufen lassen. Am Beispiel eines Kinobesuchs lässt sich dies erklären. Man möchte sich mit dem Freund einen Film im Kino anschauen. Also geht man ins Kino und dabei spielen sich verschiedene Handlungen ab. Zuerst kauft man die Karte, geht zum Verkaufsstand, kauft sich etwas zu trinken und essen, sucht den entsprechenden Kinosaal, geht hinein zu den Plätzen, setzt sich hin und wartet auf den Beginn des Films. Dieser Handlungsablauf ist fortwährend der Gleiche und folgt einem abgespeicherten Skript/Ablauf. Damit dieser Handlungsablauf zustande kommen kann, muss man die Erfahrung des Kinobesuch mehrfach getan haben, um jedes mal wieder aufs neue das Skript anzupassen und dem Ablauf folge zu leisten. Man sieht also, dass Wissen wird einer Person unterschiedlich präsentiert und verarbeitet.",281
6,"knowledge representations","Wissensrepräsentation erklärt, wie eine Person sein Wissen abruft und wie er es abspeichert. Dabei gibt es verschiedene Konzepte beziehungsweise Modelle. Man nennt diese Modelle auch mentale Modelle. Das heißt, dass diese Wissensrepräsentation im Gehirn stattfindet und dass das Wissen in verschiedenen Formen abgespeichert ist. Generell wird Wissen meist im Kontext im Langzeitgedächtnis abgespeichert, vieles wird in so genannten Handlungsketten gespeichert. Dies beschreibt eine Abfolge von Handlungen. Inwiefern sich diese Handlungsketten unterscheiden können, wird im folgenden Text erklärt: An sich kann Wissen als Schemata abgespeichert sein, das heißt als ein Ablauf von Handlungen. So entstehen Schemata, die immer wieder abgerufen werden können, als Beispiel hierzu kann ein Schema lauten ""Essen bestellen"". Dieser beinhaltet dann einen Handlungsablauf, von Auswählen über Bestellen über Essen über bezahlen. Wissen kann auch als Skript abgespeichert sein, was eine Weiterfühtung des Schematas ist. Während die Schemata einen unterbewussten, automatischen Ablauf charakterisieren, beschreiben die Skripte Abläufe, die bewusst ins Gedächtnis gerufen werden. Dies gilt dann für Handlungen oder Situationen, die nicht dem Alltäglichen entsprechen und seltener und/ oder komplexer sind. Propositionen hingegen sind mit Relationen verbunden. Propositionen entsprechen also im Gegensatz zu Schemata und Skripten nicht bestimmten Handlungsabläufen, die konstant ablaufen, sondern entspricht einem wandelbaren Ablauf von Handlungen, der individuell an die Situation anzupassen gilt, sowie eine Relation zu weiteren Elementen herstellen kann, also auch gleichzeitig erweiterbar ist. Propositionen haben damit ein Ziel, zu welchem die Handlungskette führt, doch der Ablauf der Handlungskette kann sich unterscheiden, wohingegen bei Schemata und Skripten wenig Spielraum im Ablauf bleibt. Bei Schemata und Skripten tritt nämlich Verwunderung auf, sobald die Handlungskette unterbrochen wird und ein anderer Ablauf entsteht. Bei Propositionen ist dies nicht der Fall, da die Handlungskette hier nur in groben Zügen gegeben ist und damit der Spielraum besteht, der keine Verwunderung oder Verwirrtheit auslöst.",295
7,"knowledge representations","Im Gedächtnis werden gelernte Informationen verschiedenartig repräsentiert. Jede Information wird hierzu vom Arbeitsgedächtnis sofort bei ihrer Aufnahme durch den Lernenden verarbeitet und im Langzeitgedächtnis durch Verknüpfung mit Vorwissen, Organisation und Wiederholung eingelagert. Primäres Instrument zur Organisation von Wissen sind zuallerserst Schemata. Es handelt sich dabei um Gruppen von untereinander vernetzten Informationen. Sie dienen der leichteren Verarbeitung großer Informationsmengen, indem durch die Vernetzung der Wissensbestandteile untereinander die kognitive Belastung für die Bereitstellung von vereinzelten dieser Bestandteile verringert wird. Die Fähigkeit zur Organisation von Wissen in Schemata kann außerdem trainiert werden, wie man deutlich am Beispiel eines ungeübten und eines geübten Lesers sehen kann. Der geübte Leser kann die im Text enthaltenen Informationen leicht in Schemata gliedern und sich deshalb einen besseren Überblick über Textabschnitte und den gesamten Text verschaffen, während der ungeübte Leser sehr viel mehr Mühe auf das Erinnern einzelner Wörter und deren Verknüpfung verwenden muss. Abgesehen von Schemata gibt es aber auch noch beispielsweise Skripts, in welchen insbesondere Handlungsmuster und Handlungsabfolgen abgespeichert werden. Dies sorgt zum Beispiel dafür, dass ein leidenschaftlicher Theatergänger nicht bei jedem Theaterbesuch darüber nachdenken muss, wie er sich dort zu verhalten habe oder dass man beim Anblick einer Tür immer sofort weiß, wie man sie öffnet. Skripts spielen vor allem beim Erlernen gesellschaftlicher Konventionen eine Rolle, während Schemata beim Verinnerlichen von Sachinformationen hilfreich sind.",220
8,"knowledge representations","Wissensrepräsentation: Unter Wissensrepräsentation versteht man die Frage wie Wissen im Gedächtnis dargestellt wird. Einfacher mit der Frage wie wissen im Gedächtnis gespeichert wird. Ein mentales Modell ist dabei das Netzwerkmodell in Form von Schemata. Eingehende Informationen werden im Arbeitsgedächtnis verarbeitet und mit sogenannten Schemata aus dem Langzeitgedächtnis verknüpft. Ein Schema ist eine kleine Einheit von Wissen. Diese Wissenseinheit enthält Informationen und Eigenschaften zu einem bestimmtem Thema. Ein Thema kann beispielsweise ein Objekt, eine Tatsache oder ein Ereignis sein. Das Vorhandensein von solchen Schemata vereinfacht unser Denken beziehungsweise Lernen sehr. Ein Schema besteht aus sogenannten Knoten und Kanten. Während die Knoten aus verschiedenen Eigenschaften zu dem Thema bestehen, sind die Kanten die jeweilige Verbindung unter den Knoten. Durch diese Verbindungen entsteht ein semantisches Netzwerk. Zur Verdeutlichung ein Beispiel: Sollen wir zum Thema ""Strauß"" Eigenschaften nennen, fallen uns direkt die Eigenschaften ""ist ein Vogel, kann aber nicht fliegen"" und ""ist bunt ein"". Das übergeordnete Schema Vogel induziert die Eigenschaften, "" hat Federn, kann in der Regel fliegen"". Dem darüber hierarchisch angeordnet das Schema Tier mit den Eigenschaften "" frisst, atmet"" muss nicht für jede spezifische Tierart neu ""gedacht"" werden. Damit ist unser Denken oder auch das Erlernen neuer Informationen erheblich vereinfacht. Es muss nicht, wie in unserem Beispiel, für jedes Tier neu dazugelernt werden, dass es fressen und atmen kann, sondern durch die schematische Anordnung bereits gelernter Begriffe, können solche Schemata aus dem Langzeitgedächtnis abgerufen werden.",233
9,"knowledge representations","Es gibt verschiedene Arten von Wissensrepräsentation. Eine Art ist das mentale Modell. Hierbei handelt es sich darum, dass man sich beim Erinnern an bildliche Elemente erinnert. Man hat ein mentales Bild vor Augen, wenn man Wissen konstruiert. Eine andere Art ist die Proposition. Es handelt sich dabei um Argument und Relation. Wissen wird in Argumente organisiert und dann relativiert. Eine dritte Art der Wissensrepräsentation ist Schemata. Beim Lernen von neuer Information werden verschiedene Elemente mit einander verbunden, um Schemata zu formen. Zum Beispiel wird beim Lernen einer Fremdsprache das Vorwissen der Muttersprache mit den neuen Vokabeln in Verbindung gesetzt. Eine vierte Art der Wissensrepräsentation ist der Skript. Dieses Konzept bennent die Tatsache, dass man sich beim Aufnehmen von Information auf typische, einem bereits bekannte Modelle zurückgreift. Zum Beispiel würde ein amerikanischer Schüler beim Erlernen der deutschen Sprache den Hang dazu haben, die Artikel vor Nomen wegzulassen, da diese in der englischen Sprache nicht immer notwendig sind. Statt zu sagen ""Das Leben ist schön"" würde er sagen ""Leben ist schön"" da es im Englischen nur ""Life is pretty"" wäre. Dadurch wird erkennbar, dass er dem Skript seiner Muttersprache folgt solange ihm die deutschen Sprachregeln noch nicht bekannt sind. Diese vier verschiedenen Arten von Wissensrepräsentation zeigen alle, wie man neue Information lernt und Wissen konstruiert.",214
10,"knowledge representations","Eine Proposition ist zusammengesetzt aus Argumenten und Verben. Ein Beispiel für ein Argument kann sein ""Text zur Geschichte des 16.Jahrhunderts"" und ein Verb wäre bsw. ""lesen"" oder ""zusammenfassen"". Eine Proposition wird im Gedächtnis als ein sogenanntes Schemata abgespeichert. Das Schemata kann nun wieder und wieder aufgerufen werden. So entstehen Skripte im Gedächtnis, welche sich aus den Schemata zusammensetzen. Diese Schemata werden dann in Bezug mit den Erfahrungen des Lernenden gesetzt. Der Lernende entwickelt auf diese Weise sogenannte Mentale Modelle, welche bei der Wissensrepräsentation eine wichtige Rolle einnehmen. Wissen wird in Schemata gekürzt und in einem passenden Moment als mentales Modell wiedergegeben. Ein Beispiel: ein Mann betretet ein Gebäude. Er sieht eine Frau mit einem blauen Kleid. Nun entwickelt sein Gedächtnis ein Schemata, wie etwa ""weiblich, blau"". Ein anderes Beispiel: Der Lehrer gibt eine Hausaufgabe: ""Hausaufgabe ist den Text von Thomas Mann zu lesen und zusammenzufassen"". Die Schüler erinnern sich nun daran: ""Text von Mann; lesen; zusammenfassen"".",158
