title,url,summary,datetime
Volcán Barú,https://de.wikipedia.org/wiki/Volc%C3%A1n_Bar%C3%BA,"Der Volcán Barú  ist mit einer Höhe von 3477 m der höchste Berg Panamas. Er ist ein ruhender Vulkan südlich der kontinentalen Wasserscheide in der Provinz Chiriquí. Umgeben ist er von fruchtbarem Hochland, von dem die Flüsse Chiriquí und Caldera abfließen. Die Städte Volcán und Cerro Punta sind westlich des Vulkans gelegen, Bajo Boquete östlich. Der Dreitausender ist Teil des Nationalparks Parque Nacional Volcán Barú. Die letzte größere Eruption fand etwa im Jahr 700 statt. Die ersten Berichte über eine kleinere Eruption gehen auf die Jahre um 1550 zurück. Einige historische Eruptionen wurden mit Hilfe der Radiokohlenstoffmethode datiert. Bekannte Ausbrüche: 9280 v. Chr. ± 30 Jahre, 7420 v. Chr. ± 75 Jahre, 1270 v. Chr. ± 100 Jahre, 260 ± 150 Jahre, 710 ± 30 Jahre, 1130 ± 150 Jahre sowie 1340 ± 75 Jahre. Aufgrund der relativ kleinen Nord-Süd-Ausdehnung Panamas und der Höhe des Vulkans kann man an klaren Tagen vom Gipfel aus sowohl den Pazifischen Ozean als auch das karibische Meer sehen.",2017-07-27 17:19:50
Normalisierungsprinzip,https://de.wikipedia.org/wiki/Normalisierungsprinzip,"In den 1950er Jahren wurde das Normalisierungsprinzip als zentrale Maxime im Umgang mit erwachsenen Menschen mit einer geistigen Behinderung entwickelt. Zunächst war es als Leitlinie für die Gestaltung sozialer Dienste ausgearbeitet. In eine Kurzform gebracht, besagt die Normalisierungsformel, dass das Leben von  Menschen mit kognitiven Beeinträchtigungen in allen Phasen so normal wie möglich zu gestalten ist. Entwickelt wurde der Normalisierungsgedanke in den 1950er Jahren von dem Dänen Niels Erik Bank-Mikkelsen. Der Schwede Bengt Nirje arbeitete das Normalisierungsprinzip aus und strebte durch konkrete Zielsetzungen die Umsetzung in die Praxis an. Wolf Wolfensberger entwickelte es in den 60er Jahren in den USA und Kanada weiter. In Deutschland gilt Walter Thimm als der Verfechter des Normalisierungsprinzips. Nach Nirje sollte das Normalisierungskonzept Auswirkungen auf folgende acht Bereiche haben: Normaler Tagesrhythmus Trennung von Arbeit-Freizeit-Wohnen Normaler Jahresrhythmus Normale Erfahrungen im Ablauf des Lebenszyklus Normalen Respekt vor dem Individuum und dessen Recht auf Selbstbestimmung Normale sexuelle Lebensmuster ihrer Kultur Normale ökonomische Lebensmuster und Rechte im Rahmen gesellschaftlicher Gegebenheiten Normale Umweltmuster und -standards innerhalb der Gemeinschaft.  Die Adressaten des Normalisierungsprinzips  sind nach dem amerikanischen Behindertenpädagogen und -psychologen Wolfensberger: die einzelne Person mit geistiger Behinderung  die Institutionen  die Gesellschaft  Wolfensberger unterteilt diese Adressatenkreise noch in die Handlungsdimensionen Interaktion und Interpretation. Daraus wird deutlich, dass sich die Normalisierung nicht nur auf die Handlungen bezieht, sondern auch auf die Art und Weise, in der Menschen mit geistiger Behinderung ""nach außen"" dargestellt werden, wie sie der Umwelt symbolisch repräsentiert werden. Mit der Handlungsdimension der Interpretation auf den drei Systemstufen macht Wolfensberger auf die immer noch geistig verankerten Vor- und Werturteile in der Gesellschaft aufmerksam.  ""Immerhin wirken Betroffenen-Verbände, Institutionen, Publizistik und Medien  auf Einstellungsveränderungen hin, und Menschen mit Behinderungen müssen heute ihre Heimatregion in der Regel nicht mehr verlassen, um an einem entlegenen Ort wohnen und Förderung, Bildung oder Therapie erhalten zu können."" ",2017-07-27 17:19:57
Henry John Rous,https://de.wikipedia.org/wiki/Henry_John_Rous,"Henry John Rous , ein britischer Marineoffizier und Sportsmann, wurde als zweiter Sohn von John Rous, 1. Earl of Stradbroke, geboren. Er absolvierte seine Schulzeit auf der Westminster School und war zwischen 1808 und ca. 1840 Mitglied der britischen Marine, wo er eine übliche Offizierskarriere absolvierte, einige eigene Kommandos führte und eine Tapferkeitsmedaille erhielt. Während seiner Landurlaube organisierte er u. a. im April 1827 die erste Regatta in Sydney. Ab August 1828 erforschte er den Tweed River und den Richmond River im Nordosten von New South Wales. Das Gebiet zwischen diesen beiden Flüssen wird heute Rous County genannt, ein Nebenfluss des Tweed River wurde Rous River getauft. Nachdem er den Marinedienst quittiert hatte, heiratete er reich und war zwischen 1841 und 1846 für die Conservative Party Mitglied des House of Commons. Nach 1846 widmete er sein Leben ausschließlich dem Galopprennsport.",2017-07-27 17:21:01
Kálmán Markovits,https://de.wikipedia.org/wiki/K%C3%A1lm%C3%A1n_Markovits,"Graf Kálmán Markovits von Spizza und Kisterpest  war ein ungarischer Wasserballspieler. Er wurde mit der ungarischen Wasserball-Nationalmannschaft 1952 und 1956 Olympiasieger und gewann bei den Spielen 1960 Bronze. 1954, 1958 und 1962 wurde Markovits mit der ungarischen Mannschaft Europameister. Nachdem 1956 der Ungarische Volksaufstand blutig niedergeschlagen worden war, gehörte Markovits zu den fünf Spielern, die nach den Olympischen Spielen 1956 unmittelbar nach Ungarn zurückkehrten. Insgesamt bestritt er 132 Länderspiele für Ungarn. Nach seiner aktiven Laufbahn war Kálmán Markovits als Trainer tätig. 1981 holte CN Barcelona unter seiner Leitung den Supercup. Im Jahr 1994 wurde er in die Ruhmeshalle des internationalen Schwimmsports aufgenommen. Sein Sohn László Markovits nahm als professioneller Tennisspieler an drei Olympischen Sommerspielen teil.",2017-07-27 17:21:12
To Steal a Book is an Elegant Offense,https://de.wikipedia.org/wiki/To_Steal_a_Book_is_an_Elegant_Offense,"To Steal a Book is an Elegant Offense. Intellectual Property Law in Chinese Civilization ist ein 1995 bei Stanford University Press erschienenes Buch des amerikanischen Rechtswissenschaftlers William P. Alford. Alford untersucht die Unterschiede im Verständnis von geistigem Eigentum in der westlichen Welt und China, und findet das Verständnis in China dafür weitaus weniger ausgeprägt. Das Bild, das Alford in diesem Buch von China zeichnete, prägte seitdem die westliche Auffassung über das chinesische Urheberrechtsverständnis. Der Titel ist eine Paraphrase eines chinesischen Sprichworts. Alford macht für das andere Urheberrechtsverständnis in China vor allem die Tradition des Konfuzianismus verantwortlich. Konfuzianische Traditionen verhinderten lange die Ausprägung individualistischer Eigentumsrechte, und daraus folgend auch die Entwicklung geistiger Eigentumsrechte. Die chinesische Beamtenprüfung, und damit die Möglichkeiten der Karriere, beruhten lange Jahrhunderte auf einem Lehrsystem, das möglichst genaues Kopieren und Auswendiglernen belohnte. Kreativität und Originalität in der Kunst zeigte sich in diesem Zusammenhang in der transformativen Nutzung bereits bestehender Werke und der Anpassung des Vergangenen an die Gegenwart. Neben der historischen Analyse geht er auf die beiden Versuche ein, wirkungsvolle Urheberrechtsgesetze westlichen Musters in China einzuführen. Trotz erheblichen Drucks der Kolonialmächte scheiterten diese Versuche im frühen 20. Jahrhundert und laut Alford scheitern sie auch gerade wieder Ende des 20. Jahrhunderts. Alfords Forschungsansatz wurde in weiteren Studien aufgegriffen, beispielsweise von Peter K. Yu, Andrew Evans oder John Allan Lehman. Andererseits wurde ihm eine einseitige Interpretation vorgeworfen, die nur auf wenigen historischen Daten basiere. Alford betrachte allein die ideengeschichtlichen Ursachen und vernachlässige beispielsweise ökonomische und technische Unterschiede zwischen dem Westen und China. In China selbst kritisierten Forscher wie Zheng Chengsi, dass sich durchaus nach der Entwicklung der Druckerpresse urheberrechtsähnliche Institutionen herausgebildet hätten. Während Alford und seine direkten Nachfolger auch die diversen Ansätze zu urheberrechtsähnlichen Systemen betonen und das System kreativer origineller Schöpfung in China beleuchten, dient das oft zitierte Standardwerk meist nur als Referenz, um eine generelle Unverträglichkeit westlicher und chinesischer Auffassungen zum geistigen Eigentum festzustellen. Das Buch sollte dazu führen, die Spannungen zwischen den USA und China abzubauen, und darauf hinweisen, dass Änderungen in China eine lange Zeit bräuchten, und dass diese von Außen kaum beeinflusst werden können. Dennoch hat es oft zum Gegenteil beigetragen: es diente amerikanischen Stellen und Organisationen als Bestätigung, dass sie den Druck und die Einwirkung auf China erhöhen müssen.",2017-07-27 17:22:20
Ehgraben,https://de.wikipedia.org/wiki/Ehgraben,"Der Ehgraben, auch Reule oder Reihe genannt, war der schmale, nicht bebaute Streifen zwischen den Häusern der mittelalterlichen Städte. Es handelte sich um einen offenen Graben einer Breite von bis zu drei Metern, der auf dem Grund eines schmalen Gässchens zwischen den gegenüberstehenden Rückseiten zweier Häuserreihen verlief. Die Ehgräben wurden zur Fäkalienbeseitigung benutzt; an den Häuserrückseiten befanden sich die Abtrittserker, aus denen die Fäkalien unmittelbar in den Ehgraben hinabfielen. Wegen des „pestilenzialischen Gestankes“ der Ehgräben waren diese Hinterwände mit möglichst wenig Fenstern versehen. Im Mittelalter bildeten Fäkaliengruben, Ehgräben und oberirdisch verlaufende, angelegte „Bäche“ das Entwässerungssystem einer Stadt. Gingen auch die einzelnen Ehgräben manchmal mit Gefälle ineinander über, um schließlich in den Stadtgraben oder einen Wasserlauf zu münden, so entledigten sie sich dort nur eines Teiles ihrer flüssigen Schmutzstoffe. Sie mussten deshalb von Zeit zu Zeit geräumt werden. Die Reinigung der Ehgräben erfolgte entweder durch Spülen oder durch Auslegen mit Mist, der dann der landwirtschaftlichen Verwertung zugeführt wurde. Wie selten dies geschah, geht aus einer Schilderung des Nürnberger Stadtbaumeisters Endres Tucher, eines Zeitgenossen von Albrecht Dürer, deutlich hervor. In seinem „Baumeisterbuch“ heißt es: „Eine reihen, die da get zwischen der judenheuser herab an die Ledergass . . . pis an die Newengass . . . hab ich räumen lassen im siebenzigsten jar  zu Martini und gab darzu auß . . . zwei und zweitzig pfunt alt. Die reihen war in 18 jaren nit geräumt worden.“",2017-07-27 17:22:34
Frank Sorge,https://de.wikipedia.org/wiki/Frank_Sorge,Frank Sorge  ist ein ehemaliger deutscher Fußballspieler. Frank Sorge begann in seinem Geburtsort Rödlitz mit dem Fußball. Im April 1965 kam er zum FC Karl-Marx-Stadt. Mit 20 Jahren schaffte er den Sprung in die Mannschaft des amtierenden DDR-Meisters. Sein erstes Oberliga-Spiel bestritt er während des achten Spieltages am 14. Oktober 1967 zu Hause gegen den 1. FC Union Berlin . Er spielte zu Beginn seiner Oberliga-Karriere im Mittelfeld. Später wurde Sorge als Verteidiger eingesetzt. Bis zu seinem Karriereende spielte er auf der Position des Liberos und des Vorstoppers. Sein letztes Oberliga-Spiel bestritt Frank Sorge am vorletzten Spieltag der Saison 1980/81 am 23. Mai 1981 bei Sachsenring Zwickau . Nach der Halbzeitpause wurde er gegen Gerd Pelz ausgewechselt. Zwischen 1967 und 1981 absolvierte Sorge insgesamt 272 Oberliga-Spiele . Außerdem kam er einmal in einem Nachwuchs-Länderspiel der DDR zum Einsatz. Als Trainer agierte Sorge beim FSV Krumhermersdorf.,2017-07-27 17:22:50
Liste der Abgeordneten zum Wiener Landtag und Mitglieder des Wiener Gemeinderats (7. Wahlperiode),https://de.wikipedia.org/wiki/Liste_der_Abgeordneten_zum_Wiener_Landtag_und_Mitglieder_des_Wiener_Gemeinderats_(7._Wahlperiode),"Diese Liste der Abgeordneten zum Wiener Landtag und Mitglieder des Wiener Gemeinderats  listet alle Abgeordneten zum Wiener Landtag und Gemeinderat in der 7. Wahlperiode auf. Die Wahlperiode reichte vom 17. Oktober 1954 bis zum 25. Oktober 1959. Die Angelobung der Abgeordneten erfolgte in der ersten Sitzung am 10. Dezember 1954, wobei die erste Sitzung von Landtag und Gemeinderat am selben Tag stattfand. Nach der Landtags- und Gemeinderatswahl 1954 entfielen 59 der 100 Mandate auf die Sozialdemokratische Partei Österreichs , 35 auf die Österreichische Volkspartei  und 6 auf die Wahlgemeinschaft österreichische Volksopposition . Der Landtag wählte am 10. Dezember 1954 die Landesregierung Jonas II.",2017-07-27 17:23:02
Thingbewegung,https://de.wikipedia.org/wiki/Thingbewegung,"Die Thingbewegung war eine Bewegung im frühen 20. Jahrhundert bei manchen Verbänden  der Jugendbewegung. Großversammlungen wie Verbands-Jahresversammlungen, wurden unter dem germanischen Begriff Thing abgehalten. Darin sollte ihre Abkehr von den abgelehnten Formen der Wilhelminischen Epoche und die Rückbesinnung auf eine vermeintlich bessere Zeit der tugendhaften Ahnen zum Ausdruck kommen. Es war üblich, die Gesamtversammlungen mit Darbietungen eigener Kunst zu beleben: Trachten, Tanz, Gesang, Dichtung, Laienspiel. Nach der Weltwirtschaftskrise 1929 sollten auch außerhalb der Jugendverbände, aber nach ihrem Vorbild, solche Großereignisse gestaltet werden. Diesem Zweck widmete sich der „Reichsbund der deutschen Freilicht- und Volksschauspiele e. V.“. Auf Vorschlag des Theaterwissenschaftlers Carl Niessen wählte man für die geplanten Veranstaltungen die Bezeichnung „Thingspiel“. Die Nationalsozialisten eigneten sich das neue Medienformat sofort nach der Machtübernahme an, der Reichsbund wurde „gleichgeschaltet“. Es wurden über 400 Thingstätten geplant, wo vor großem Publikum regelmäßig Thingspiele stattfinden sollten. Aber der Reichsminister für Volksaufklärung und Propaganda lenkte den Reichsbund nur etwa zwei Jahre lang. Danach, ohne seine Förderung, schlief die Thingbewegung ein, da sich andere Medienformate als wirksamer erwiesen.",2017-07-27 17:23:12
J. Lawrence Smith,https://de.wikipedia.org/wiki/J._Lawrence_Smith,"John Lawrence Smith, genannt Lawrence Smith war ein US-amerikanischer Chemiker und Mineraloge. Smith studierte unter anderem Chemie, Physik und Mathematik  an der University of Virginia und danach Medizin am Medical College der University of South Carolina, mit der Promotion  1840. Anschließend war er in Gießen bei Justus Liebig und in Paris, wo er unter anderem bei dem Toxikologen Mathieu Orfila studierte und durch den Prozess von Marie Lafarge zur forensischen Toxikologie hingezogen wurde. Er hörte aber auch zum Beispiel Geologie bei Elie de Beaumont. Ab 1844 lehrte er in Charleston in South Carolina Toxikologie am Medical College und gründete das Charleston Medical and Surgical Journal. Zwei Jahre später nahm er eine Stelle als Goldprüfer für die Regierung an. In dieser Zeit untersuchte er auch die Bodeneigenschaften, die für gute Baumwollernten notwendig waren, was ihm auf Vermittlung des Außenministeriums hin einen Posten als Berater in der Türkei verschaffte, wo man ebenfalls Baumwolle anbauen wollte. In der Türkei war er auch als Berater in Bergbaufragen erfolgreich, ihm gefielen aber die Einschränkungen seiner Reisefreiheit nicht. 1850 kehrte er über Paris zurück. Danach war er Chemie-Professor an der späteren Tulane University, 1852 bis 1854 Chemie-Professor an der University of Virginia und 1854 bis 1866 Professor für medizinische Chemie und Toxikologie an der University of Louisville. 1866 gab er die Professur auf, nachdem er durch Heirat finanziell unabhängig geworden war und sich fortan nur noch der Meteoritenforschung widmen wollte. Er war 1872 Präsident der American Association for the Advancement of Science und 1877 der American Chemical Society. Er entdeckte das Mineral Liebigit in der Türkei und benannte es nach Justus von Liebig. Während seines Türkei-Aufenthalts fand er Schmirgel-Vorkommen in Kleinasien und konnte damit ein Monopol englischer Kaufleute  brechen, was den Preis erheblich reduzierte. Smith hatte eine der besten Meteoritensammlungen seiner Zeit, die an die Harvard University ging. Für Forschungen auf dem Gebiet von Meteoriten vergibt die National Academy of Science seit 1883 alle drei Jahre den J. Lawrence Smith Award. 1850 erfand er  das inverse Mikroskop, bei dem das Objektiv unter dem Tisch ist. Aus seiner Sicht hatte es den Vorteil, dass chemische Reaktionen im Objektträger nicht die Optik des Mikroskops gefährdeten. 1852 heiratete er Sarah Julia Guthrie, Tochter des Geschäftsmanns und Finanzministers James Guthrie. Er war Mitglied der National Academy of Sciences sowie der American Academy of Arts and Sciences.",2017-07-27 17:23:23
